"Freq [GHz]","Phi [deg]","Theta [deg]","normalize(GainTotal) []"
6,90.0000000000002,-24,0.0176983938599262
6,90.0000000000002,-23,0.0116290115618963
6,90.0000000000002,-22,0.00876180681169744
6,90.0000000000002,-21,0.0104285782227303
6,90.0000000000002,-20,0.0179259547790083
6,90.0000000000002,-19,0.032431727073951
6,90.0000000000002,-18,0.0549215844248528
6,90.0000000000002,-17,0.086092129125159
6,90.0000000000002,-16,0.126295785658414
6,90.0000000000002,-15,0.175492491290815
6,90.0000000000002,-14,0.233221913165266
6,90.0000000000002,-13,0.298598496083055
6,90.0000000000002,-12,0.370330043245158
6,90.0000000000002,-11,0.446758919281208
6,90.0000000000002,-10,0.52592348412783
6,90.0000000000002,-9,0.60563613789563
6,90.0000000000002,-8,0.683573465580206
6,90.0000000000002,-7,0.757373458940092
6,90.0000000000002,-6,0.824734660830783
6,90.0000000000002,-5,0.883512286709476
6,90.0000000000002,-4,0.931806862690144
6,90.0000000000002,-3,0.96804159735228
6,90.0000000000002,-2,0.991025490503662
6,90.0000000000002,-1,1
6,90.0000000000002,0,0.994667878696493
6,90.0000000000002,1,0.975203521061343
6,90.0000000000002,2,0.942244809194126
6,90.0000000000002,3,0.896867026829088
6,90.0000000000002,4,0.840539936527515
6,90.0000000000002,5,0.77506961402319
6,90.0000000000002,6,0.702527125581287
6,90.0000000000002,7,0.625166629340416
6,90.0000000000002,8,0.545335973680005
6,90.0000000000002,9,0.465383329790737
6,90.0000000000002,10,0.387563789518176
6,90.0000000000002,11,0.313950128287716
6,90.0000000000002,12,0.246352016813559
6,90.0000000000002,13,0.18624780970646
6,90.0000000000002,14,0.134732604848827
6,90.0000000000002,15,0.092485540161658
6,90.0000000000002,16,0.059758291361933
6,90.0000000000002,17,0.036385507014787
6,90.0000000000002,18,0.0218165493840077
6,90.0000000000002,19,0.0151665103453816
6,90.0000000000002,20,0.0152831641507878
6,90.0000000000002,21,0.0208254264224035
6,90.0000000000002,22,0.0303481198466258
6,90.0000000000002,23,0.0423874813842911
6,90.0000000000002,24,0.0555419239145439
6,90.0000000000002,25,0.0685430825279665
6,90.0000000000002,26,0.0803130824587463
6,90.0000000000002,27,0.0900051726174117
6,90.0000000000002,28,0.0970262575451351
6,90.0000000000002,29,0.101041297951911
6,90.0000000000002,30,0.101960902711401
6,90.0000000000002,31,0.0999145851983623
6,90.0000000000002,32,0.0952130133646125
6,90.0000000000002,33,0.0883030906483275
6,90.0000000000002,34,0.0797198473526969
6,90.0000000000002,35,0.0700389207384497
6,90.0000000000002,36,0.0598329098859215
6,90.0000000000002,37,0.0496341846162963
6,90.0000000000002,38,0.0399058951495365
6,90.0000000000002,39,0.0310220611344776
6,90.0000000000002,40,0.023256797592934
6,90.0000000000002,41,0.0167820279398659
6,90.0000000000002,42,0.011672486930168
6,90.0000000000002,43,0.00791645324832293
6,90.0000000000002,44,0.0054304752724591
6,90.0000000000002,45,0.00407634886581963
6,90.0000000000002,46,0.0036787438229639
6,90.0000000000002,47,0.00404211846390357
